ruta,clase,cubierto_base,cubierto_propuesta,manifiestos_propuesta
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-40-07.687575Z_pandas-baseline_1e4eceaf-5891-495c-a524-8cb0b68591cd.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-40-23.199525Z_pyspark-pipeline_e87f5a30-5d8e-4e6e-af66-616c97bae9d1.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-40-58.620324Z_pyspark-pipeline_0b0fd047-6a0c-4501-bf5e-35c1daccc3b8.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-41-36.185184Z_pyspark-pipeline_6444d1df-9532-4b65-bf91-c3cc7b10c4ab.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-42-15.039320Z_pyspark-pipeline_abe6ba63-b36c-4afc-97b2-97222bdf27d7.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-42-50.932935Z_pyspark-pipeline_18a6fecb-023a-481b-9c56-6e733ef29f9c.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/RECONCILIACION-HASHES-EOL.md,A_codigo_documentacion,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/RECONCILIACION-PROVENANCE.md,A_codigo_documentacion,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/comparacion.csv,C_derived,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/comparacion.json,C_derived,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/config.json,E_metadata,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/equivalence.json,C_derived,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/inventory.json,E_metadata,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/packages.txt,E_metadata,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/provenance.json,E_metadata,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/equivalence-final-a2b60a0e-d2b5-4d69-95c5-904353062c9a/equivalence.json,C_derived,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-e2/smoke-refresh-25m/SHA256SUMS.txt,D_manifest,no,no,
experimentos/evidencia-e2/smoke-refresh-25m/end_utc.txt,E_metadata,si,si,experimentos/evidencia-e2/smoke-refresh-25m/SHA256SUMS.txt
experimentos/evidencia-e2/smoke-refresh-25m/experimental_sha.txt,E_metadata,si,si,experimentos/evidencia-e2/smoke-refresh-25m/SHA256SUMS.txt
experimentos/evidencia-e2/smoke-refresh-25m/locust.log,B_raw,si,si,experimentos/evidencia-e2/smoke-refresh-25m/SHA256SUMS.txt
experimentos/evidencia-e2/smoke-refresh-25m/locust_exceptions.csv,B_raw,si,si,experimentos/evidencia-e2/smoke-refresh-25m/SHA256SUMS.txt
experimentos/evidencia-e2/smoke-refresh-25m/locust_failures.csv,B_raw,si,si,experimentos/evidencia-e2/smoke-refresh-25m/SHA256SUMS.txt
experimentos/evidencia-e2/smoke-refresh-25m/locust_stats.csv,B_raw,si,si,experimentos/evidencia-e2/smoke-refresh-25m/SHA256SUMS.txt
experimentos/evidencia-e2/smoke-refresh-25m/start_utc.txt,E_metadata,si,si,experimentos/evidencia-e2/smoke-refresh-25m/SHA256SUMS.txt
experimentos/experiment-config.json,A_codigo_documentacion,no,no,
experimentos/exportar_equipos_arbiter.py,A_codigo_documentacion,no,no,
experimentos/finalizar_evidencia_iso25010.py,A_codigo_documentacion,no,no,
experimentos/fixtures/equipos-experimentales.json,A_codigo_documentacion,no,no,
